SpeakerKey,Speaker,Family,Month,Count
이철승위원,이철승 위원,기술,1949-02,0
이철승위원,이철승 위원,기술,1949-03,0
이철승위원,이철승 위원,기술,1949-04,0
이철승위원,이철승 위원,기술,1949-05,0
이철승위원,이철승 위원,기술,1949-06,0
이철승위원,이철승 위원,기술,1949-07,0
이철승위원,이철승 위원,기술,1949-08,0
이철승위원,이철승 위원,기술,1949-09,0
이철승위원,이철승 위원,기술,1949-10,0
이철승위원,이철승 위원,기술,1949-11,0
이철승위원,이철승 위원,기술,1949-12,0
이철승위원,이철승 위원,기술,1950-01,0
이철승위원,이철승 위원,기술,1950-02,0
이철승위원,이철승 위원,기술,1950-03,0
이철승위원,이철승 위원,기술,1950-04,0
이철승위원,이철승 위원,기술,1950-06,0
이철승위원,이철승 위원,기술,1950-10,0
이철승위원,이철승 위원,기술,1950-11,0
이철승위원,이철승 위원,기술,1950-12,0
이철승위원,이철승 위원,기술,1951-01,0
이철승위원,이철승 위원,기술,1951-02,0
이철승위원,이철승 위원,기술,1951-03,0
이철승위원,이철승 위원,기술,1951-04,0
이철승위원,이철승 위원,기술,1951-05,0
이철승위원,이철승 위원,기술,1951-06,0
이철승위원,이철승 위원,기술,1951-07,0
이철승위원,이철승 위원,기술,1951-08,0
이철승위원,이철승 위원,기술,1951-09,0
이철승위원,이철승 위원,기술,1951-10,0
이철승위원,이철승 위원,기술,1951-11,0
이철승위원,이철승 위원,기술,1951-12,0
이철승위원,이철승 위원,기술,1952-01,0
이철승위원,이철승 위원,기술,1952-02,0
이철승위원,이철승 위원,기술,1952-03,0
이철승위원,이철승 위원,기술,1952-04,0
이철승위원,이철승 위원,기술,1952-05,0
이철승위원,이철승 위원,기술,1952-06,0
이철승위원,이철승 위원,기술,1952-07,0
이철승위원,이철승 위원,기술,1952-08,0
이철승위원,이철승 위원,기술,1952-09,0
이철승위원,이철승 위원,기술,1952-10,0
이철승위원,이철승 위원,기술,1952-11,0
이철승위원,이철승 위원,기술,1952-12,0
이철승위원,이철승 위원,기술,1953-01,0
이철승위원,이철승 위원,기술,1953-02,0
이철승위원,이철승 위원,기술,1953-03,0
이철승위원,이철승 위원,기술,1953-04,0
이철승위원,이철승 위원,기술,1953-05,0
이철승위원,이철승 위원,기술,1953-06,0
이철승위원,이철승 위원,기술,1953-07,0
이철승위원,이철승 위원,기술,1953-08,0
이철승위원,이철승 위원,기술,1953-09,0
이철승위원,이철승 위원,기술,1953-10,0
이철승위원,이철승 위원,기술,1953-11,0
이철승위원,이철승 위원,기술,1953-12,0
이철승위원,이철승 위원,기술,1954-01,0
이철승위원,이철승 위원,기술,1954-02,0
이철승위원,이철승 위원,기술,1954-03,0
이철승위원,이철승 위원,기술,1954-04,0
이철승위원,이철승 위원,기술,1954-05,0
이철승위원,이철승 위원,기술,1954-06,0
이철승위원,이철승 위원,기술,1954-07,0
이철승위원,이철승 위원,기술,1954-08,0
이철승위원,이철승 위원,기술,1954-09,1
이철승위원,이철승 위원,기술,1954-10,6
이철승위원,이철승 위원,기술,1954-11,0
이철승위원,이철승 위원,기술,1954-12,3
이철승위원,이철승 위원,기술,1955-01,1
이철승위원,이철승 위원,기술,1955-02,0
이철승위원,이철승 위원,기술,1955-03,0
이철승위원,이철승 위원,기술,1955-04,0
이철승위원,이철승 위원,기술,1955-05,3
이철승위원,이철승 위원,기술,1955-06,9
이철승위원,이철승 위원,기술,1955-07,5
이철승위원,이철승 위원,기술,1955-09,0
이철승위원,이철승 위원,기술,1955-10,0
이철승위원,이철승 위원,기술,1955-11,0
이철승위원,이철승 위원,기술,1955-12,6
이철승위원,이철승 위원,기술,1956-01,3
이철승위원,이철승 위원,기술,1956-02,5
이철승위원,이철승 위원,기술,1956-03,0
이철승위원,이철승 위원,기술,1956-04,0
이철승위원,이철승 위원,기술,1956-05,0
이철승위원,이철승 위원,기술,1956-06,0
이철승위원,이철승 위원,기술,1956-07,0
이철승위원,이철승 위원,기술,1956-08,0
이철승위원,이철승 위원,기술,1956-09,0
이철승위원,이철승 위원,기술,1956-10,0
이철승위원,이철승 위원,기술,1956-11,0
이철승위원,이철승 위원,기술,1956-12,0
이철승위원,이철승 위원,기술,1957-01,0
이철승위원,이철승 위원,기술,1957-02,0
이철승위원,이철승 위원,기술,1957-03,0
이철승위원,이철승 위원,기술,1957-04,0
이철승위원,이철승 위원,기술,1957-05,0
이철승위원,이철승 위원,기술,1957-06,0
이철승위원,이철승 위원,기술,1957-07,0
이철승위원,이철승 위원,기술,1957-08,0
이철승위원,이철승 위원,기술,1957-09,1
이철승위원,이철승 위원,기술,1957-10,3
이철승위원,이철승 위원,기술,1957-11,0
이철승위원,이철승 위원,기술,1957-12,25
이철승위원,이철승 위원,기술,1958-01,0
이철승위원,이철승 위원,기술,1958-02,0
이철승위원,이철승 위원,기술,1958-03,0
이철승위원,이철승 위원,기술,1958-04,0
이철승위원,이철승 위원,기술,1958-05,0
이철승위원,이철승 위원,기술,1958-06,0
이철승위원,이철승 위원,기술,1958-07,20
이철승위원,이철승 위원,기술,1958-08,28
이철승위원,이철승 위원,기술,1958-09,0
이철승위원,이철승 위원,기술,1958-10,6
이철승위원,이철승 위원,기술,1958-11,6
이철승위원,이철승 위원,기술,1958-12,3
이철승위원,이철승 위원,기술,1959-05,0
이철승위원,이철승 위원,기술,1959-06,3
이철승위원,이철승 위원,기술,1959-07,1
이철승위원,이철승 위원,기술,1959-10,0
이철승위원,이철승 위원,기술,1959-11,19
이철승위원,이철승 위원,기술,1959-12,0
의사국장서상준,의사국장 서상준,기술,1948-08,0
의사국장서상준,의사국장 서상준,기술,1948-09,0
의사국장서상준,의사국장 서상준,기술,1948-10,0
의사국장서상준,의사국장 서상준,기술,1948-11,0
의사국장서상준,의사국장 서상준,기술,1948-12,0
의사국장서상준,의사국장 서상준,기술,1949-01,0
의사국장서상준,의사국장 서상준,기술,1949-02,0
의사국장서상준,의사국장 서상준,기술,1949-03,0
의사국장서상준,의사국장 서상준,기술,1949-04,0
의사국장서상준,의사국장 서상준,기술,1949-05,0
의사국장서상준,의사국장 서상준,기술,1949-06,0
의사국장서상준,의사국장 서상준,기술,1949-07,0
의사국장서상준,의사국장 서상준,기술,1949-08,0
의사국장서상준,의사국장 서상준,기술,1949-09,0
의사국장서상준,의사국장 서상준,기술,1949-10,0
의사국장서상준,의사국장 서상준,기술,1949-11,0
의사국장서상준,의사국장 서상준,기술,1949-12,0
의사국장서상준,의사국장 서상준,기술,1950-01,0
의사국장서상준,의사국장 서상준,기술,1950-02,0
의사국장서상준,의사국장 서상준,기술,1950-03,0
의사국장서상준,의사국장 서상준,기술,1950-04,0
의사국장서상준,의사국장 서상준,기술,1950-06,0
의사국장서상준,의사국장 서상준,기술,1950-10,0
의사국장서상준,의사국장 서상준,기술,1950-11,0
의사국장서상준,의사국장 서상준,기술,1950-12,0
의사국장서상준,의사국장 서상준,기술,1951-01,0
의사국장서상준,의사국장 서상준,기술,1951-02,2
의사국장서상준,의사국장 서상준,기술,1951-03,0
의사국장서상준,의사국장 서상준,기술,1951-04,0
의사국장서상준,의사국장 서상준,기술,1951-05,2
의사국장서상준,의사국장 서상준,기술,1951-06,1
의사국장서상준,의사국장 서상준,기술,1951-07,1
의사국장서상준,의사국장 서상준,기술,1951-08,3
의사국장서상준,의사국장 서상준,기술,1951-09,4
의사국장서상준,의사국장 서상준,기술,1951-10,4
의사국장서상준,의사국장 서상준,기술,1951-11,0
의사국장서상준,의사국장 서상준,기술,1951-12,1
의사국장서상준,의사국장 서상준,기술,1952-01,1
의사국장서상준,의사국장 서상준,기술,1952-02,1
의사국장서상준,의사국장 서상준,기술,1952-03,2
의사국장서상준,의사국장 서상준,기술,1952-04,3
의사국장서상준,의사국장 서상준,기술,1952-05,2
의사국장서상준,의사국장 서상준,기술,1952-06,0
의사국장서상준,의사국장 서상준,기술,1952-07,3
의사국장서상준,의사국장 서상준,기술,1952-08,3
의사국장서상준,의사국장 서상준,기술,1952-09,3
의사국장서상준,의사국장 서상준,기술,1952-10,0
의사국장서상준,의사국장 서상준,기술,1952-11,0
의사국장서상준,의사국장 서상준,기술,1952-12,2
의사국장서상준,의사국장 서상준,기술,1953-01,3
의사국장서상준,의사국장 서상준,기술,1953-02,0
의사국장서상준,의사국장 서상준,기술,1953-03,1
의사국장서상준,의사국장 서상준,기술,1953-04,1
의사국장서상준,의사국장 서상준,기술,1953-05,2
의사국장서상준,의사국장 서상준,기술,1953-06,0
의사국장서상준,의사국장 서상준,기술,1953-07,0
의사국장서상준,의사국장 서상준,기술,1953-08,1
의사국장서상준,의사국장 서상준,기술,1953-09,0
의사국장서상준,의사국장 서상준,기술,1953-10,0
의사국장서상준,의사국장 서상준,기술,1953-11,1
의사국장서상준,의사국장 서상준,기술,1953-12,2
의사국장서상준,의사국장 서상준,기술,1954-01,1
의사국장서상준,의사국장 서상준,기술,1954-02,1
의사국장서상준,의사국장 서상준,기술,1954-03,3
의사국장서상준,의사국장 서상준,기술,1954-04,0
의사국장서상준,의사국장 서상준,기술,1954-05,0
의사국장서상준,의사국장 서상준,기술,1954-06,0
의사국장서상준,의사국장 서상준,기술,1954-07,2
의사국장서상준,의사국장 서상준,기술,1954-08,0
의사국장서상준,의사국장 서상준,기술,1954-09,3
의사국장서상준,의사국장 서상준,기술,1954-10,0
의사국장서상준,의사국장 서상준,기술,1954-11,1
의사국장서상준,의사국장 서상준,기술,1954-12,1
의사국장서상준,의사국장 서상준,기술,1955-01,3
의사국장서상준,의사국장 서상준,기술,1955-02,2
의사국장서상준,의사국장 서상준,기술,1955-03,6
의사국장서상준,의사국장 서상준,기술,1955-04,4
의사국장서상준,의사국장 서상준,기술,1955-05,4
의사국장서상준,의사국장 서상준,기술,1955-06,8
의사국장서상준,의사국장 서상준,기술,1955-07,3
의사국장서상준,의사국장 서상준,기술,1955-09,2
의사국장서상준,의사국장 서상준,기술,1955-10,1
의사국장서상준,의사국장 서상준,기술,1955-11,3
의사국장서상준,의사국장 서상준,기술,1955-12,1
의사국장서상준,의사국장 서상준,기술,1956-01,3
의사국장서상준,의사국장 서상준,기술,1956-02,3
의사국장서상준,의사국장 서상준,기술,1956-03,2
의사국장서상준,의사국장 서상준,기술,1956-04,0
의사국장서상준,의사국장 서상준,기술,1956-05,1
의사국장서상준,의사국장 서상준,기술,1956-06,2
의사국장서상준,의사국장 서상준,기술,1956-07,6
의사국장서상준,의사국장 서상준,기술,1956-08,1
의사국장서상준,의사국장 서상준,기술,1956-09,0
의사국장서상준,의사국장 서상준,기술,1956-10,1
의사국장서상준,의사국장 서상준,기술,1956-11,1
의사국장서상준,의사국장 서상준,기술,1956-12,0
의사국장서상준,의사국장 서상준,기술,1957-01,3
의사국장서상준,의사국장 서상준,기술,1957-02,0
의사국장서상준,의사국장 서상준,기술,1957-03,2
의사국장서상준,의사국장 서상준,기술,1957-04,3
의사국장서상준,의사국장 서상준,기술,1957-05,1
의사국장서상준,의사국장 서상준,기술,1957-06,4
의사국장서상준,의사국장 서상준,기술,1957-07,2
의사국장서상준,의사국장 서상준,기술,1957-08,1
의사국장서상준,의사국장 서상준,기술,1957-09,2
의사국장서상준,의사국장 서상준,기술,1957-10,0
의사국장서상준,의사국장 서상준,기술,1957-11,4
의사국장서상준,의사국장 서상준,기술,1957-12,6
의사국장서상준,의사국장 서상준,기술,1958-01,0
의사국장서상준,의사국장 서상준,기술,1958-02,4
의사국장서상준,의사국장 서상준,기술,1958-03,0
의사국장서상준,의사국장 서상준,기술,1958-04,0
의사국장서상준,의사국장 서상준,기술,1958-05,0
의사국장서상준,의사국장 서상준,기술,1958-06,0
의사국장서상준,의사국장 서상준,기술,1958-07,6
의사국장서상준,의사국장 서상준,기술,1958-08,0
의사국장서상준,의사국장 서상준,기술,1958-09,0
의사국장서상준,의사국장 서상준,기술,1958-10,0
의사국장서상준,의사국장 서상준,기술,1958-11,0
의사국장서상준,의사국장 서상준,기술,1958-12,0
의사국장서상준,의사국장 서상준,기술,1959-05,0
의사국장서상준,의사국장 서상준,기술,1959-06,0
의사국장서상준,의사국장 서상준,기술,1959-07,0
의사국장서상준,의사국장 서상준,기술,1959-10,0
의사국장서상준,의사국장 서상준,기술,1959-11,0
의사국장서상준,의사국장 서상준,기술,1959-12,0
부의장조경규,부의장 조경규,기술,1948-08,0
부의장조경규,부의장 조경규,기술,1948-09,0
부의장조경규,부의장 조경규,기술,1948-10,0
부의장조경규,부의장 조경규,기술,1948-11,0
부의장조경규,부의장 조경규,기술,1948-12,0
부의장조경규,부의장 조경규,기술,1949-01,0
부의장조경규,부의장 조경규,기술,1949-02,0
부의장조경규,부의장 조경규,기술,1949-03,0
부의장조경규,부의장 조경규,기술,1949-04,0
부의장조경규,부의장 조경규,기술,1949-05,0
부의장조경규,부의장 조경규,기술,1949-06,0
부의장조경규,부의장 조경규,기술,1949-07,0
부의장조경규,부의장 조경규,기술,1949-08,0
부의장조경규,부의장 조경규,기술,1949-09,0
부의장조경규,부의장 조경규,기술,1949-10,0
부의장조경규,부의장 조경규,기술,1949-11,0
부의장조경규,부의장 조경규,기술,1949-12,0
부의장조경규,부의장 조경규,기술,1950-01,0
부의장조경규,부의장 조경규,기술,1950-02,0
부의장조경규,부의장 조경규,기술,1950-03,0
부의장조경규,부의장 조경규,기술,1950-04,0
부의장조경규,부의장 조경규,기술,1950-06,0
부의장조경규,부의장 조경규,기술,1950-10,0
부의장조경규,부의장 조경규,기술,1950-11,0
부의장조경규,부의장 조경규,기술,1950-12,0
부의장조경규,부의장 조경규,기술,1951-01,0
부의장조경규,부의장 조경규,기술,1951-02,0
부의장조경규,부의장 조경규,기술,1951-03,0
부의장조경규,부의장 조경규,기술,1951-04,0
부의장조경규,부의장 조경규,기술,1951-05,0
부의장조경규,부의장 조경규,기술,1951-06,0
부의장조경규,부의장 조경규,기술,1951-07,0
부의장조경규,부의장 조경규,기술,1951-08,0
부의장조경규,부의장 조경규,기술,1951-09,0
부의장조경규,부의장 조경규,기술,1951-10,0
부의장조경규,부의장 조경규,기술,1951-11,0
부의장조경규,부의장 조경규,기술,1951-12,0
부의장조경규,부의장 조경규,기술,1952-01,0
부의장조경규,부의장 조경규,기술,1952-02,0
부의장조경규,부의장 조경규,기술,1952-03,0
부의장조경규,부의장 조경규,기술,1952-04,0
부의장조경규,부의장 조경규,기술,1952-05,0
부의장조경규,부의장 조경규,기술,1952-06,0
부의장조경규,부의장 조경규,기술,1952-07,0
부의장조경규,부의장 조경규,기술,1952-08,0
부의장조경규,부의장 조경규,기술,1952-09,0
부의장조경규,부의장 조경규,기술,1952-10,0
부의장조경규,부의장 조경규,기술,1952-11,0
부의장조경규,부의장 조경규,기술,1952-12,0
부의장조경규,부의장 조경규,기술,1953-01,0
부의장조경규,부의장 조경규,기술,1953-02,0
부의장조경규,부의장 조경규,기술,1953-03,0
부의장조경규,부의장 조경규,기술,1953-04,0
부의장조경규,부의장 조경규,기술,1953-05,0
부의장조경규,부의장 조경규,기술,1953-06,0
부의장조경규,부의장 조경규,기술,1953-07,0
부의장조경규,부의장 조경규,기술,1953-08,0
부의장조경규,부의장 조경규,기술,1953-09,0
부의장조경규,부의장 조경규,기술,1953-10,0
부의장조경규,부의장 조경규,기술,1953-11,0
부의장조경규,부의장 조경규,기술,1953-12,0
부의장조경규,부의장 조경규,기술,1954-01,0
부의장조경규,부의장 조경규,기술,1954-02,0
부의장조경규,부의장 조경규,기술,1954-03,0
